_id;Name;Nome;Beschreibung;Descrizione;Kategorie;Categoria;Adresse;Telefonnummer;Email;Webseite(n);Öffnungszeiten;Tags;KAUZ Tags;longitude;latitude
;Campill / Freizeitpark ;Campill / Parco ricreativo;Die Sonne scheint und zu Hause plagen dich Strandsehnsucht und Couchflucht? Schwing dich aufs Rad und ab die Füße in den Sand des Volleyballplatzes! Doch aufgepasst, dass dein Aufschlag nicht im Basketballfeld, Calisthenics-Park, Bolzplatz oder Kinderspielplatz landet.;Fuori splende il sole risvegliando la nostalgia della spiaggia e la voglia di scappare dal divano? Salta in sella alla tua bici e corri a infilare i piedi nella sabbia del campo da pallavolo! Ma fai attenzione che la tua battuta non finisca nel campo da basket, da calcio, nell'area calisthenics o nel parco giochi per bambini.;FIT & FRÖHLICH;PALLEGGIARE E PALESTRARSI;;;;;;;;;
681a89d2c8c64552e950b28f;Car Sharing;;Autoverleih;;unbekannt;;Bahnhof Brixen, Mozartallee;3,90471E+11;info@carsharing.bz.it;https://www.carsharing.bz.it/de/;;;;1.139.007;4.642.372
;Circolo artistico S. Erardo;Circolo artistico S. Erardo;Ein lebendiger Treffpunkt für Kunst und Kultur, wo regelmäßig Ausstellungen, Workshops und Veranstaltungen organisiert werden, die lokale Künstler:innen fördern und Austausch ermöglichen. Ein Ort, der Inspiration und Gemeinschaft verbindet.;Un vivace punto d'incontro per l'arte e la cultura, dove mostre, workshop ed eventi valorizzano gli artisti locali e promuovono lo scambio di idee, sogni e opinioni. Un luogo in cui ispirazione e comunità si fondono.;BÜHNEN BILDER BÜCHER;PALCHI PITTURA PAROLE;;;;;;;;;
;Cusanus-Akademie;Accademia Cusanus;In der Cusanus-Akademie sind alle Menschen willkommen: wissensdurstige, weltoffene, werteorientierte. Unter dem Motto 'Bildung und Begegnung, Dialog und Erleben' wird in der Cusanus-Akademie gebildet, gekurst, diskutiert, spiritualisiert, gespeist und genächtigt.;Nell'Accademia Cusanus tutte le persone curiose, aperte al mondo e legate a dei valori sono benvenute. Seguendo il motto 'Educazione e Incontro, Dialogo ed Esperienza' l'Accademia offre un luogo in cui si può imparare, partecipare a dei corsi, discutere, vivere la spiritualità, mangiare e pernottare.;BREITE BILDUNG;FORMAZIONE FENOMENALE;;;;;;;;;
681a89d2c8c64552e950b27f;Dekadenz & Tschumpus;Dekadenz & Tschumpus;Seit 1980 lädt der Kleinkunst-Keller Dekadenz rund siebzigmal im Jahr zum Lauschen und Lachen ein – bei einem Getränk der Wahl. In den Sommermonaten bleibt die Dekadenz geschlossen und überlässt das Publikum dem Kultursommer im ehemaligen Gefängnis Tschumpus.;Fondato nel 1980 in una storica cantina, questo piccolo teatro apre le sue porte circa 70 volte all'anno con una selezione di concerti e spettacoli da godersi sorseggiando un bicchiere della propria bevanda preferita. Durante i mesi estivi, il Dekadenz chiude i battenti e invita il pubblico a partecipare al Kultursommer nell'ex carcere Tschumpus.;BÜHNEN BILDER BÜCHER;PALCHI PITTURA PAROLE;Obere Schutzengelgasse 3B;3,90473E+11;info@dekadenz.it;https://www.dekadenz.it/;;;;1.166.014;4.671.682
681a89d2c8c64552e950b29f;Diözesanmuseum Hofburg;;Krippensammlung, Domschatz, Kunst des Mittelalters, Renaissance, Barock, 19. und 20. Jh., Tagungen und Events;;unbekannt;;Hofburgplatz 2;39 0472 830505;info@hofburg.it;Museum | Hofburg Brixen;OKT - MAI- täglich 10.00 - 17.00, JUNI - SEPT täglich 10.00 - 18.30;;;1.165.328;467.149
681a89d2c8c64552e950b286;Mozart Muscle Beach / Don-Giuseppe-Franco-Park;Mozart Muscle Beach / Parco Don Giuseppe Franco;Pumpe und pimpe deinen Body for free! Ein gut bestückter Muskelpark für Muskelpakete oder jene, die es noch werden wollen. Verfeinere am Pumptrack deine Skills auf dem unmotorisierten Gefährt deiner Wahl, verausgabe dich an den Eisenstangen oder beim Teqball. ;Allena e rafforza il tuo corpo gratuitamente! Un parco calisthenics, ideale sia per chi è già muscoloso, sia per chi vuole diventarlo. Affina le tue abilità sulla pump track utilizzando un mezzo non motorizzato a scelta, allenati alle sbarre di ferro o divertiti con una partita a Teqball.;FIT & FRÖHLICH;PALLEGGIARE E PALESTRARSI;Mozartallee / Marconistrasse;;;;;;;1.165.734;4.672.223
681a89d2c8c64552e950b2a5;ELKI / Eltern-Kind-Zentrum und Pumuckl-Tauschmarkt;Elki / Centro Genitori Bimbi e Mercatino dello scambio Pumuckl;Treff für Eltern mit Babys und Kids zum Spielen, Austauschen und Zeitverbringen. Für bewusste Aktivitäten: Familientage, Kurse, Vorträge und spezielle Angebote für Schwangere. Für bewussten Konsum: ein Second-Hand-Tauschmarkt mit Kinderkleidern und vielem mehr.;Luogo d'incontro per genitori con bambini, dove poter giocare e trascorrere del tempo insieme. Uno spazio dedicato ad attività: corsi, conferenze, giornate in famiglia, iniziative per gestanti. Per promuovere un consumo responsabile è disponibile un mercatino dell'usato con vestiti per bambini e molto altro.;WACHSEN & WIRKEN;CRESCERE IN COMUNE;Hofgasse 4, Brixen, ;39 0472 802134;brixen@elki.bz.it;Brixen - Eltern-Kind-Zentren (Elkis);;;;116.558;4.671.558
;Essbare Stadt;Città edibile;Der Kreisverkehr schmeckt köstlich, vom Flussufer kommt mein Obst und das Salatgewürz hole ich mir auf dem Domplatz. Eine Stadt, die ihre Bewohner:innen gemeinsam be-garteln, die für den kleinen Hunger zwischendurch immer eine Lösung hat, die blüht, die grünt, die wächst.;La rotonda ha un sapore delizioso, la mia frutta viene dalla riva del fiume e il condimento per l'insalata lo prendo da piazza Duomo. Una città che i suoi abitanti coltivano insieme, che ha sempre una soluzione per i buchi nello stomaco, che fiorisce, verdeggia e cresce.;WÜNSCHEN WIRKT WUNDER;SOGNI E SPERANZE;;;;;;;;;
681a89d2c8c64552e950b296;Fachbibliothek Eine Welt;;Das Medienangebot der Fachbibliothek Eine Welt umfasst Bilderbücher zu unterschiedlichen Themen, Jugend- und Erwachsenenliteratur und ein vielfältiges Angebot an Spiel- und Dokumentarfilmen vorrangig in deutscher Sprache. Auch Bücher in leichte und einfache Sprache sowie Fachzeitschriften.;;unbekannt;;Vintlerweg 34;39 0472 833 950;biblioinfo@oew.org;Fachbibliothek Eine Welt - OEW;Mo-Fr 9.00 - 12.30, Mo und Mi 14.00 - 16.30;;;1.165.977;4.670.783
681a89d2c8c64552e950b291;FARO Flohmarkt;;Flohmarkt, Second Hand;;unbekannt;;Konrad Lechner Strasse, 5;;;;Sonntag;;;1.164.748;4.673.098
;Flohmärkte;Mercatini delle pulci;Für diejenigen, die schon alles haben, bieten sie das Vergnügen, sich im Unnützen zu verlieren und zwischen dem Krempel kuriose Gegenstände zu entdecken. Wer etwas braucht, wird sicherlich fündig, und wer zu viel hat, sollte ein paar Kisten packen und mit einem Stand teilnehmen!;Per chi già ha tutto, offrono il piacere di perdersi nell'inutile e scoprire, tra le cianfrusaglie, oggetti curiosi. Chi invece è alla ricerca di qualcosa di preciso, troverà sicuramente ciò di cui ha bisogno, mentre chi ha troppo prepari qualche scatolone e partecipi con una bancarella!;REUSE & REPAIR;RIPARARE E RECUPERARE;;;;;;;;;
681a89d2c8c64552e950b289;Flussterassen;;Flusszugang mit Bänken, Liegeflächen;;unbekannt;;Linker Eisackdamm;;;;;;;116.544;467.275
681a89d2c8c64552e950b2a7;Food sharing Rebellion;;;;unbekannt;;Altenmarktgasse, 22, Brixen;39 3490565097;Rebellion.brixen@yahoo.com;Nachhaltiger Lifestyle & Mode - Rebellion - Rebellion - Brixen;Mo bis Fr 9.00 bis 18.30 Uhr Sa 9.00 bis 17.00 Uhr;;;1.165.673;467.185
681a89d2c8c64552e950b2a8;Food sharing Rex;;;;unbekannt;;St.Josef-Strasse, 1, Brixen;39 3281166771;info@rex-bx.it;REX - Material und Dinge - Material und Dinge (rex-bx.it);Mo: 14-18, Di: 9-12,14-18, Mi: 14-18, Do: geschlossen, Fr: 14-18, Sa: 9-12;;;1.166.258;4.671.936
;Freitagsalon;Salotto del venerdì;Ausnahmslos jeden letzten Freitag im Monat wird dieses Forum (un)gepflegter Debattenkultur eröffnet. Wechselnde Gäste bringen ihr Thema ein und treten darüber mit der kritischen Bürger:innenschaft in Dialog. Austragungsort ist die Stadtbibliothek Brixen (C3).;Immancabilmente ogni ultimo venerdì del mese viene aperto questo forum di cultura del dibattito convenzionale (e non). Relatori sempre diversi presentano i loro temi e dialogano con il pubblico critico. L'attuale sede è la Biblioteca Civica di Bressanone.;SPIELEN SPRECHEN SPEISEN;SERATE IN SOCIETÀ;;;;;;;;;
;Freiwilligendienst Caritas;volontariato caritas;Ob Selbstverwirklichung, Altruismus oder persönliche Weiterentwicklung – bei der Caritas können sich Menschen jeden Alters sinnvoll einbringen. Wer Zeit verschenken möchte, findet hier garantiert eine begeisternde Aufgabe – bei der Caritas selbst oder ihren Partnern. Mach mit und schenke Sinn!;Che si tratti di autorealizzazione, altruismo o sviluppo personale, persone di tutte le età possono offrire un contributo significativo alla Caritas. Chi desidera donare il proprio tempo troverà qui delle attività stimolanti, sia con la Caritas stessa, sia con i suoi partner. Partecipate e date un significato profondo al vostro impegno!;BÜRGER:IN BEWEGUNG;CITTADINANZA CRITICA;;;;;;;;;
681a89d2c8c64552e950b28c;Freizeitpark Fru(h)n;;Freizeitpark mit Grillplatz, Fußballfeld, Basketkorb, Volleyballnetz, Spielplatz, Zeltmöglichkeit. Vormerkung beim Tourismusverein Natz;;unbekannt;;Natz, Frun;;info@natz-schabs.info;;auf Vormerkung;;;1.168.882;4.675.777
681a89d2c8c64552e950b290;fundus punkt;fundus punto;Dich schick kleiden und ein Krankenhaus zum Lächeln bringen? Das ist einfach in der liebevoll geführten Second-Hand-Boutique des Vereins Comedicus. Außerdem kannst du dort zum Karneval das Kostüm deiner Träume finden und nochmal lächeln.;Vestirsi chic e far sorridere un intero ospedale? È possibile grazie alla boutique di seconda mano curata amorevolmente dall'associazione Comedicus. Durante il carnevale, qui puoi trovare il travestimento dei tuoi sogni e continuare a regalare sorrisi.;REUSE & REPAIR;RIPARARE E RECUPERARE;Runggadgasse, 14/B;;;;Mo-Fr 9.00 - 12.00, 15.00 - 18.00;;;1.165.905;4.671.386
681a89d2c8c64552e950b292;Gumperermarkt;;;;unbekannt;;Albuingasse;;;;16. und 30.09 sowie 14.10.2023, 8.00 - 17.00;;;1.165.562;467.161
681a89d2c8c64552e950b27c;HdS - Haus der Solidarität 'Luis Lintner' ;CdS - Casa della Solidarietà 'Luis Lintner';Hilft Menschen in Notsituationen, gibt Unterkunft und begleitet im Alltag. Es bietet verschiedenen Organisationen Arbeitsräume und Entfaltungsmöglichkeiten, ist ein Nest für neue Ideen und Heimat des kunterbunten zugluft-Festes.;Sostiene le persone in situazioni d'emergenza, offrendo loro un alloggio e accompagnandole nella gestione della vita quotidiana. Mette a disposizione spazi lavorativi e offre occasioni di crescita a diverse organizzazioni. Inoltre, è un'incubatrice di nuove idee nonché sede del festival multiculturale zugluft.;GEMEINSCHAFTLICH GERECHT;SOCIALI E SOLIDALI;Vintlerweg 34, 39042 Brixen;0472 830 441;hds@hds.bz.it;http://www.hds.bz.it/;;caring for people sharing and public goods;Caring for nature caring for people democratization sharing and public goods redistribution;1.166.351;4.670.702
;Haus Maria Hueber / Domus und Essensausgabe;Haus Maria Hueber / Domus e Distribuzione pasti;Bietet Menschen in Notsituationen jeden Tag ein warmes Mittagessen, die Möglichkeit zu duschen und ihre persönliche Wäsche zu waschen, sowie Berater:innen, die zuhören und weiterhelfen. Offre alle persone in situazioni di emergenza un pasto caldo quotidiano, la possibilità di fare una doccia, lavare la propria biancheria e di rivolgersi a consulenti pronti ad ascoltare e fornire supporto. Sono disponibili anche alcuni piccoli appartamenti come alloggi temporanei.;Offre alle persone in situazioni di emergenza un pasto caldo quotidiano, la possibilità di fare una doccia, lavare la propria biancheria e di rivolgersi a consulenti pronti ad ascoltare e fornire supporto. Sono disponibili anche alcuni piccoli appartamenti come alloggi temporanei.;HELFENDE HÄNDE;AIUTO ATTIVO;;;;;;;;;
;heimat Brixen;heimat Bressanone;Einmischen, mitmischen, aufmischen: Ohne Bewegung lebt keine Demokratie, und die brauchen wir, um uns heimisch zu fühlen! Ob Bücherwürmer oder Kulturliebende – bei heimat BBP findet mensch eine spannende Community, spannende Gespräche, spannende Vorträge.;Immischiarsi, immedesimarsi, rimescolarsi: senza movimento non c'è democrazia e noi ne abbiamo bisogno per sentirci a casa! Che siate topi da biblioteca o amanti della cultura, all'heimat BBP troverete una comunità appassionata, parteciperete a discussioni coinvolgenti e ascolterete relatori stimolanti.;BÜRGER:IN BEWEGUNG;CITTADINANZA CRITICA;;;;;;;;;
681a89d2c8c64552e950b284;Herrengarten;;Gepflegter Garten;;unbekannt;;Kassianstrasse / Hofburgplatz;;;;tagsüber;;;1.165.564;4.671.492
681a89d2c8c64552e950b28d;Hundezone;;Hundezone;;unbekannt;;Plosestrasse / St. Josef Strasse;;;;8.00 - 12.30, 15.00 - 20.00;;;116.619;4.671.079
681a89d2c8c64552e950b2ae;HYLA Umweltgruppe Eisacktal;;Dachverband für Natur-und Umweltschutz, Information und Action;;unbekannt;;;39 3247450390;hyla@ug-eisacktal.com;umweltgruppeeisacktal.wordpress.com;Offizielle Bürozeiten: MO bis DO 9-12 und 14-16 Uhr | FR 9-12 Uhr;;;0;0
;Interkulturelles Abendessen;Cena interculturale;Bewohner:innen des HdS – Haus der Solidarität 'Luis Lintner' (H1) kochen auf und laden ein, an ihrem Tisch Platz zu nehmen. Die Gerichte stammen meist aus der Region, in denen die Köch:innen aufgewachsen sind – von afghanisch bis zypriotisch. Einmal im Monat bei freier Spende.;Gli abitanti della Casa della Solidarietà (CdS) 'Luis Lintner' (H1) cucinano e invitano gli ospiti a condividere la loro tavola. Dall'Afghanistan allo Zimbabwe, i piatti serviti riflettono le tradizioni culinarie dei luoghi in cui le cuoche e i cuochi sono cresciuti. Un appuntamento mensile, con offerta libera.;SPIELEN SPRECHEN SPEISEN;SERATE IN SOCIETÀ;;;;;;;;;
;Jukas / Bildungshaus;Jukas / Centro di formazione;Bildung inspiriert. Bildung für Erwachsene, Kinder und Jugendliche in verschiedenen Formaten: Kurse, Seminare, Werkstätten, Erlebniswochen und Festivals. Von Musik und Kunst zu Technik und Handarbeit, vom Erzählen in Wort und Bild zu Schönheit innen und außen.;L'educazione ispira. Viene offerta formazione per adulti, bambini e giovani in diverse modalità: corsi, seminari, laboratori, settimane comunitarie e festival. Dalla musica all'arte, dalla tecnologia all'artigianato, dalla narrazione con parole e immagini alla scoperta della bellezza interiore ed esteriore.;BREITE BILDUNG;FORMAZIONE FENOMENALE;;;;;;;;;
681a89d2c8c64552e950b2ac;Karlspromenade;Karlspromenade;Otto von Guggenberg ließ sie für seinen Patienten und Freund Karl, den letzten Habsburger Kaiser, errichten. Das Ergebnis: ein bequemer Spaziergang, der es ermöglicht, sich für eine Stunde über die alltäglichen Probleme zu erheben – ohne dabei die Stadt aus den Augen zu verlieren.;Otto von Guggenberg la fece realizzare per il suo paziente e amico, l'ultimo imperatore asburgico Karl. Una comoda passeggiata per elevarsi un'oretta sopra i problemi quotidiani, senza comunque perdere di vista la città.;GEMÜTLICH GRÜN;VERDE VIVIBILE;Karlspromenade;;;;;;;1.166.873;4.671.167
;Kass & Connection / Jugendzentren;Kass & Connection / Centri di cultura giovanile;Zwei Orte für Jugendliche, um abzuhängen, zu lachen und sich zu unterhalten. Musik, Tanz, Theater, Murales und Upcycling. Nachhaltig, vielfältig und kreativ. Young Action!;Due luoghi per i giovani, per stancarsi, ridere e passare del tempo insieme. Musica, danza, teatro, murales e upcycling. Sostenibile, vario e creativo. Young Action!;WACHSEN & WIRKEN;CRESCERE IN COMUNE;;;;;;;;;
681a89d2c8c64552e950b28e;Kastanienhain;;Öffentlich zugänglicher Kastanienhain (Almende), schattige Bänke;;unbekannt;;Vahrn, Seiserleite;;;;;;;1.165.553;4.673.452
681a89d2c8c64552e950b2b6;Kleiderkammer Kolping ;;;;unbekannt;;;;;;;;;0;0
681a89d2c8c64552e950b285;Klettergarten Mahr;;Klettergarten mit 43 Routen im Schwierigkeitsgrad zwischen 4a und 8b;;unbekannt;;Fasserstrasse - Mahr;;;https://www.thecrag.com/de/klettern/italy/alto-adige/val-disarco/area/3304462554;;;;1.164.037;4.669.587
681a89d2c8c64552e950b29c;Kunstkreis St. Erhard;;Ausstellungen, Kunstaktionen, Workshops...;;unbekannt;;Runggadgasse 19;39 0472 802288;circolo.erardo@gmail.com;Circolo Artistico S. Erardo (wordpress.com);;;;1.165.668;4.671.325
681a89d2c8c64552e950b281;Lido / Naherholungsgebiet Fischzuchtteich;Lido / Parco Laghetto;Ein Universum im Kleinformat, nicht nur für die Kleinsten: Ziegen, Flusskrebse, Ballspiele und schattige Bäume. Der Lidopark bietet einen spannenden Naherholungsort. Neben dem öffentlichen Spielplatz führt der VKE - Verein für Kinderspielplätze und Erholung das SpielHaus.;Un universo in scala ridotta, non solo per i più piccoli: capre, gamberi di fiume, giochi con la palla e alberi ombrosi. Il Parco Lido offre un'emozionante area ricreativa locale. Oltre al parco giochi pubblico, il VKE - Associazione campi gioco e ricreazione gestisce la CasaGioco.;FIT & FRÖHLICH;PALLEGGIARE E PALESTRARSI;Fischzuchtweg, 17/A;;;;tagsüber;;;1.165.547;4.670.693
;Magdas Garten ;Il giardino di Magda;Magdalenas Herzenswunsch geht in Erfüllung: Der Hofburggarten ist eine Fläche, die allen Menschen offensteht. Jede:r darf hier sein, spazieren, picknicken, Yoga machen, die Mittagspause verbringen und sich erholen. Das grüne Herzstück der Stadt – Eintritt frei!;Il desiderio nel cuore di Magdalena si realizza: il giardino vescovile è ora un'area aperta a tutti. Chiunque può entrarci, fare una passeggiata, un picnic, praticare yoga o semplicemente trascorrere la pausa pranzo in totale relax. Il cuore verde della città con ingresso gratuito!;WÜNSCHEN WIRKT WUNDER;SOGNI E SPERANZE;;;;;;;;;
;Mahr / Klettergarten ;Mahr / Palestra di roccia;Man könnte glauben, der Klettergarten an der Mahr sei unerschöpflich. Hier gibt es spannende Plattenkletterei in den Schwierigkeitsgraden 4 bis 8b zu entdecken! Auch ein Trainingsklettersteig ist vorhanden, für eine schnelle und sichere Kletterrunde, wenn's mal ohne Seil sein soll.;La palestra di roccia sopra La Mara sembra davvero inesauribile! Qui potrete cimentarvi in emozionanti arrampicate d'aderenza con gradi di difficoltà dal 4 all'8b. Per chi cerca un rapido allenamento senza corda è disponibile anche una via ferrata.;FIT & FRÖHLICH;PALLEGGIARE E PALESTRARSI;;;;;;;;;
;Montessorischulen / Scuole Montessori;Montessorischulen / Scuole Montessori;R-E-S-P-E-C-T, tell me what it means to Mary! Rücksicht nehmen, Erfahrungsräume öffnen, Selbstwirksamkeit fördern, Potenziale erkennen, Empathie entwickeln, Kreativität leben, Toleranz üben. Die Montessori-Schule war Magdalenas Schule und ihre Werte waren Magdas Werte!;R-E-S-P-E-C-T, tell me what it means to Mary! Riguardo verso gli altri, Empatia e comunità, Sviluppo individuale, Potenzialità riconosciute, Esplorazione dell'ambiente, Collaborazione e Creatività, Tolleranza e pluralismo. La scuola Montessori è stata la scuola di Magdalena e i suoi valori erano i valori di Magda!;WACHSEN & WIRKEN;CRESCERE IN COMUNE;;;;;;;;;
681a89d2c8c64552e950b295;Musikschule;;;;unbekannt;;Am Priel, 7a;39 0472 869192;musikschuldirektion.brixen@schule.suedtirol.it;Musikschuldirektion Brixen - Vintl/Mühlbach | Musikschulen | Autonome Provinz Bozen - Südtirol;Mo-Fr 10.00 - 12.00, 14.00 - 17.00;;;1.165.158;467.202
;OEW / Organisation für Eine solidarische Welt;OEW / Organizzazione per Un mondo solidale;Kann man eine solidarische Welt organisieren? Ja! Mit Geschick werfen sich Haupt- und Ehrenamtliche in Projekte – ob Bildungsüberfälle oder Themenwochen, in Schulen und auf Straßen. Was nachhaltig, sozial und fair ist, findet hier ein Megafon.;È possibile organizzare un mondo solidale? Sì! Personale a tempo pieno e volontari collaborano con entusiasmo e competenza a svariati progetti: dalla guerriglia educativa, alle settimane a tema, fino ad attività nelle scuole e nelle strade. Tutto ciò che è sostenibile, sociale e giusto trova qui il suo megafono.;BÜRGER:IN BEWEGUNG;CITTADINANZA CRITICA;;;;;;;;;
681a89d2c8c64552e950b2ab;Park Lido;;Öffentlicher Park mit Spielplatz;;unbekannt;;Fischzuchtweg, 24;;;;;;;1.165.309;4.670.704
681a89d2c8c64552e950b288;Park Rosslauf;;Park mit Spielplatz;;unbekannt;;Brennerstrasse 21 / Am Rosslauf;;;;;;;11.654.031.872.749.300;46.722.321.799.925.000
